Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,HasOptedOutOfEmail,HasOptedOutOfFax,DoNotCall,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,IndividualId,Primary_Academic_Program__c,Primary_Department__c,Primary_Educational_Institution__c,Primary_Sports_Organization__c,hed__AlternateEmail__c,hed__Chosen_Full_Name__c,hed__Citizenship_Status__c,hed__Citizenship__c,hed__Contact_JSON__c,hed__Country_of_Origin__c,hed__Current_Address__c,hed__Date_Deceased__c,hed__Deceased__c,hed__Do_Not_Contact__c,hed__Dual_Citizenship__c,hed__Ethnicity__c,hed__Exclude_from_Household_Formal_Greeting__c,hed__Exclude_from_Household_Informal_Greeting__c,hed__Exclude_from_Household_Name__c,hed__FERPA__c,hed__Financial_Aid_Applicant__c,hed__Former_First_Name__c,hed__Former_Last_Name__c,hed__Former_Middle_Name__c,hed__Gender__c,hed__HIPAA_Detail__c,hed__HIPAA__c,hed__Mailing_County__c,hed__Military_Background__c,hed__Military_Service__c,hed__Naming_Exclusions__c,hed__Other_County__c,hed__PreferredPhone__c,hed__Preferred_Email__c,hed__Primary_Address_Type__c,hed__Primary_Household__c,hed__Primary_Language__c,hed__Primary_Organization__c,hed__Race__c,hed__Religion__c,hed__Secondary_Address_Type__c,hed__Social_Security_Number__c,hed__UniversityEmail__c,hed__WorkEmail__c,hed__WorkPhone__c,hed__Work_Address__c,hed__is_Address_Override__c,hed__Disability_Status__c,hed__Mailing_Address_Inactive__c,hed__SMS_Opt_Out__c,Credentialing_Identifier__c,Student_ID__c
0038c00002jHmKrAAK,,,0018c00002HgNxlAAF,Schroeder,Penny,,Penny Schroeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-12T15:13:00.000+0000,2022-04-12T15:13:00.000+0000,,,,/services/images/photo/0038c00002jHmKrAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKsAAK,,,0018c00002HgNxmAAF,Orloff-Diaz,Kady,,Kady Orloff-Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-12T15:31:02.000+0000,0058c00000BdWN8AAN,2022-04-12T15:31:02.000+0000,,,,2022-04-12T15:31:02.000+0000,2022-04-12T15:31:02.000+0000,,,,/services/images/photo/0038c00002jHmKsAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121233
0038c00002jHmKtAAK,,,0018c00002HgNxnAAF,Esch,Daniel,,Daniel Esch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-11T23:38:37.000+0000,2022-04-11T23:38:37.000+0000,,,,/services/images/photo/0038c00002jHmKtAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKuAAK,,,0018c00002HgNxoAAF,Boulter,Stephanie,,Stephanie Boulter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:36.000+0000,2022-04-08T10:54:36.000+0000,,,,/services/images/photo/0038c00002jHmKuAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKvAAK,,,0018c00002HgNxpAAF,Diaz,Hannah,,Hannah Diaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-12T15:00:13.000+0000,0058c00000BdWN8AAN,2022-04-12T15:00:13.000+0000,,,,2022-04-12T15:10:14.000+0000,2022-04-12T15:10:14.000+0000,,,,/services/images/photo/0038c00002jHmKvAAK,,,,,0018c00002HgOy4AAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKwAAK,,,0018c00002HgNxqAAF,Fogg,Henry,,Henry Fogg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:53:57.000+0000,2022-04-08T10:53:57.000+0000,,,,/services/images/photo/0038c00002jHmKwAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKxAAK,,,0018c00002HgNxrAAF,Mayakovsky,Mat,,Mat Mayakovsky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-12T15:10:24.000+0000,2022-04-12T15:10:24.000+0000,,,,/services/images/photo/0038c00002jHmKxAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKyAAK,,,0018c00002HgNxsAAF,James,Tracy,,Tracy James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:32.000+0000,2022-04-08T10:54:32.000+0000,,,,/services/images/photo/0038c00002jHmKyAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmKzAAK,,,0018c00002HgNxtAAF,Doggett,John,,John Doggett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:03.000+0000,2022-04-08T10:54:03.000+0000,,,,/services/images/photo/0038c00002jHmKzAAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmL0AAK,,,0018c00002HgNxuAAF,Reyes,Monica,,Monica Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:29.000+0000,2022-04-08T10:54:29.000+0000,,,,/services/images/photo/0038c00002jHmL0AAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmL1AAK,,,0018c00002HgNxvAAF,Skinner,Walter,,Walter Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-08T10:54:35.000+0000,2022-04-08T10:54:35.000+0000,,,,/services/images/photo/0038c00002jHmL1AAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmL2AAK,,,0018c00002HgNxwAAF,Nellen,Alex,,Alex Nellen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T10:50:28.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,0058c00000BdWN8AAN,2022-04-08T11:12:19.000+0000,,,,2022-04-12T13:53:10.000+0000,2022-04-12T13:53:10.000+0000,,,,/services/images/photo/0038c00002jHmL2AAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0038c00002jHmzuAAC,,,0018c00002HgPF4AAN,Iliescu,Maya,,Maya Iliescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0058c00000BdWN8AAN,,,,2022-04-08T16:21:26.000+0000,0058c00000BdWN8AAN,2022-04-08T16:21:27.000+0000,0058c00000BdWN8AAN,2022-04-08T16:21:27.000+0000,,,,2022-04-12T15:12:58.000+0000,2022-04-12T15:12:58.000+0000,,,,/services/images/photo/0038c00002jHmzuAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
